Yayasan,Alamat,Telp
Pondok Pesantren Nurussibyan,KP. Cicadas RT 5/2 Desa Bobojong Kec. Mande,0263 269 684 Email : Shidiq_permana@yaho
Yayasan Sarana Tarbiatul Insani,KP. Pasir Panglay RT 5/4 Desa Sukamaju Kec. Cibeber,0263 2336893 KP. 43262 HP  081563466130
Pondok Pesantren Assalafie,Jl. Gondang Manis No. 52 Babakan Ciwaringin,
Pondok Pesantren Yatim Piatu Al Barokah,"Jl. Kaum Selatan, Pasir Talaga Kec. Telagasari",
Madarul Istiqomah,Kp. Kidang Ranggah RT.01/01 Ds. Cintaasih Kecamatan Pangkalan Kab. Karawang,
Pondok Pesantren Miftahul Huda Al Ghozali,"Kp. Nambo, Desa Mekar Asih, Kec. Banyusari",085694840734/ 081572033054
Yayasan Pondok Pesantren Nihayatul Amal,"Jl. Serang, Desa Mekarjaya, Kec. Purwasari",0267 433560/085 692 603 034
Yayasan Nurul Falah Sunyar,"Dusun Sunyar, Desa Sindangkarya Kec. Kutawaluya",
Pondok Pesantren Roudlatul Mutaalimin,Desa Cibulan Kec. Cidahu,085 224 229 776
Pondok Pesantren Darul Huda,Desa Panyingkiran Kec. Jatitujuh,
Yayasan Annajah Almardiyyah Pondok Pesantren Raudl,Jl. Pesantren Babakan Gudang I Desa Babakan Sari Kec. Plered,0264 271 857/ 081318057222
Yayasan Nurul Amal,Kp. Hegarmanah RT 4/2 Desa Karoya Kec. Tegalwaru,0264 272 782
Pondok Pesantren Al Huda Centre,"Pungangan, Rancabango, Kec. Patokbeusi KP. 41263",0260 522762 / 081802121999
Yayasan Pesantren Tuhfatul Athfal (yafata),"Marengmang, Kalijati, Subang 41271",0260 460 286
YPI Sirojul Athfal,Kp. Bojonggaling RT 1/2 Kebonpedes Kec. Kebonpedes,
Yayasan Al Mihad,Dusun Cisetra RT 5/1 Desa Sukaraja Kec. Cibugel,81394295153
Yayasan Ibadurrohman,Jl. Lengkong Tengah RT 3/2 Kel. Lengkongsari Kec. Tawang 46111 /,0265 320 223
Yayasan Salsabila,Jl. Noenoeng Tisnasaputra 46115 Kompleks Perumahan Griya Salsabila Permai,
Pondok Pesantren Darul Amal,Kompleks YAPKIS Darul Amal Bunibakti Babelan 17610,021-98182583 / 085710157265
Pondok Pesantren Daarul Mukhlishiin,"Jl. Pahlawan Km. 1.5 Gg. Pesantren Kp. Cibinong Rt. 4/2, Desa Cibinong, Kec. Gunungsindur 16340",02518542529; 08561341886
Pondok Pesantren Riadul Mutaalimin,Jl. Raya Veteran III Kp. Pondok Menteng Rt. 2/3 Desa Citapen Kec. Ciawi,
Pondok Pesantren Darul Ulum,Petirhilir PO BOX 13 Kec. Baregbeg,081323278788
Pondok Pesantren Idadus Salam Inklusif,Dusun Colendra Rt. 12/05 Desa Sindangsari Kec. Cikoneng,
Yayasan Pendidikan Islam Al Islahiyyah,"Jl. Terusan BTN Griya Nugratama Ciajag, Pasirhayam, Desa Sirnagalih, Kec. Cilaku 43285",0263281007
Pondok Pesantren Al Anwariyah,Jl. Ki Gede Syuro Pondok Pesantren Al Anwariyah Ds. Tegalgubug Lor  Bok IV Awn Kec. Arjawinangun 45162,0231-357491 / 081564776863
Yayasan Pendidikan Islam Kebon Kalapa Al Marifah,Jl Pejagan Asem 02/01 Kedung Bunder Gempol,0231 9187440 / 0852 2464 4860 / 0852 241
Pondok Pesantren Madzariikul Ulum,Kp. Tanjung Desa Selaawi Kec. Selaawi,0878 2116 4064 / 0852 9525 9964
Yayasan Pondok Pesantren Bina Islami Al Ianah,"Waru Kaum Rt. 1 Desa Wargasetra, Kec. Tegalwaru",085218281710
Pondok Pesantren Salafiyah Al Hasyim,"Kp. Bugis Utara, Tanahbaru Pakisjaya 41355",02198102468; 081585859624
Pondok Pesantren Al Barokah,Jl. Raya Kasturi No. 301 Cikijing 45466,0233 319803
Pondok Pesantren Yayasan Al Hikmah,"Blok Minggu, Desa Sukamulya, Kec. Kertajati",
Pondok Pesantren Daarul Huda,Blok Kemis Rt. 03/01 Desa Karanganyar Kec. Dawuan,0233 3300633
Yayasan Kartika,Jl. Raya Barat No. 1-2 Bungursari Bantarujeg 45464,
Yayasan Miftahul Falah,"Desa Pasanggrahan, Kec. Maja Jl. Kyai abdurahman Pasanggrahan",081316214920
Yayasan Tunas Muda Harapan,Jl. Raya Cikondang No. 12 Desa Cikijing Kec. Cikijing,0233 319360
Pondok Pesantren Riyadhul Fata,Kp. Sukatani Rt. 01/01 Desa Campakasari Kec. Campaka,
Pondok Pesantren Al Barkah,"Kp. Karihkil No. 1 Rt. 6/1 Desa Kasomalang Kulon, Kec. Kasomalang",
Pondok Pesantren Assalafiyah,"Jl. Keboncau Ds. Sidamulya Desa Ciasaem Baru, Kec. Ciasaem",0260520254-520911; 081395336018
Pondok Pesantren Nurul Bayan,"Kp. Panembong Rt. 6/2, Desa Tenjolaya, Kec. Kasomalang 41283",
Yayasan Pendidikan Islam Millata Ibrahim,Jl. Cisaat No. 26 Kp Cisaat Ds. Cisaat Kec. Cicurug,
Pondok Pesantren Al Maarij,"Jl. Raya Cikondang Darmaraja No. 22, Desa Darmaraja, Kec. Darmaraja 45372",081323132286
Pondok Pesantren Al Absor,"Jl. Cibugel-Patrol Ds. Patrol Desa Jayamandiri, Kec. Cibugel 45375",
Pondok Pesantren Al Hikmah,Jl. Ardimanggala Dsn. Cicelot Ds. Cisarua Kec. Cisarua,0261 204239
Pondok Pesantren Al Muhaajiriin,"Ds. Ciroyom, Rt. 20/6 Desa Palasari, Kec. Ujungjaya 45383",085224455278
Pondok Pesantren Al Qomary,"Jl. Wado-Malangbong No. 5 Ds. Wado Girang Rt. 4/3 Desa Wado, Kec. Wado",081322055432; 0262428198
Pondok Pesantren Daarut Taufiq,"Desa Ganeas, Kec. Ganeas",
Pondok Pesantren MDA Darul Hikmah,Dsn. Sukadana Ds. Cimungkal Kec. Wado Kab. Sumedang 45373,085220948796
pondok Pesantren MDA Riyadul Mutaalimin,Dsn. Ciwalur Rt. 05/04 Ds. Banjarsari Kec. Jatinunggal,0812230460
Pondok Pesantren Miftahul Jannah,Jl. Genteng km. 5 Genteng Kec. Sukasari,085221819148
Pondok Pesantren Minhajul Kharomah,"Jl. Wirakarya No. 7 Desa Cikadu, Kec. Situraja",081321418042
Pondok Pesantren Nurul Mubin,"Ds. Pabuaran Desa Sukawening, Kec. Ganeas",
Pondok Pesantren Raudotul Mushthofa,Jl. Raya Cibugel-Limbangan km. 16 No. 43 Desa Cibugel Kec. Cibugel 45375,02622470034; 081320708724; fax. 2470072;
Pondok Pesantren Zumrotul Muttaqin,Jl. Veteran No. 7 Ds. Padasuka Rt. 3/7 Desa Situraja Utara Kec. Situraja,081394884026
Pondok Pesantren Bahrul Huda,"Kp. Malingping Desa Salebu, Kec. Mangunrejo 46462",02657019804; 081323299903
Yayasan Daarussalaam,"Kp. Rancakadu Desa Cikapinis, Kec. Karangnunggal",081222833403
Yayasan Pembantu Pengembangan Pondok Pesantren Mif,Kp. Ciuyah Ds. Tejonagara Kec. Cigalontang,081323 036 732
Yayasan Ar Rifahiyah,Perum Batara Blok C No. 22 Kelurahan Kahuripan Kec. Tawang,0265 324651
Yayasan Islam Daarut Taqwa,Jl. Sukamaju Rt. 01/03 Kelurahan Mulyasari Kecamatan Tamansari,
Pondok Pesantren Hidayatul Uluum,Jl. Awipari Tengah Rt. 01/03 Kel. Awipari kec. Cibeureum,0265 2355306 / 0813 2367 6534
Pondok Pesantren Fathurrohman,"Desa Binangun, Kec. Pataruman",085223168408
Pondok Pesantren Al-Huda,"Desa Sukakarya, Kec. Sukakarya",02189160458
Pondok Pesantren Al-Quran Khusus Yatim Yayasan Per,"Desa Karangsari, Kec. Cikarang Timur",02170612774
Pondok Pesantren Pertanian At-Taufiq,"Desa Sukakerta, Kec. Sukawangi",081584364394
Yayasan Pondok Pesantren Babul Hasanah,"Desa Karangsatu, Kec. Karang Bahagia",085885749974
Pondok Pesantren Daarul Ihsan,"Desa Curug, Kec. Gunung Sindur",02195582895
Pondok Pesantren Al-Huda,"Kp. Pasir Tengah, Desa Pancawati, Kec. Caringin",081384099682; 08161132742
Yayasan Pondok Pesantren Dawatul Fallah,"Desa Kertayasa, Kec. Cijulang",085223193056
Pondok Pesantren Nurul Huda Utsmaniyah,"Desa Lumbungsari, Kec. Lumbung",085223665723
Yayasan Al-Ikhlas Asshidiqiyyah,"Desa Sabandar, Kec. Karangtengah",081912227457
Yayasan Al-Munawaroh,"Kel. Bojong Herang, Kec. Cianjur",0852222962
Yayasan Pondok Pesantren Al-Muslimun,"Desa Hegarmanah, Kec. Sukaluyu",0263322816
Yayasan Darul Huda Al-Muniry,"Desa Bojong, Kec. Karangtengah",02635052682
Pondok Pesantren Miftahul Huda Al-Muhtar,"Desa Cikondang, Kec. Bojongpicung",0818131680
Pondok Pesantren Darul Kawakib,"Desa Tegalgubug Lor, Kec. Arjawinangun",08122203157
Koperasi Pondok Pesantren Buntet Sejahtera,"Desa Mertapada Kulon, Kec. Astanajapura",0231635480
Yayasan Pondok Pesantren Miftahul Ulum,"Desa Ambit, Kec. Waled",081395957811
Yayasan Kesejahteraan Pendidikan Muslim dan Pesant,Jl. K. Aris Desa Gintungranjeng Kec. Ciwaringin,0231 342884
Yayasan Al Ghoniyyah Dalemsari,"Desa Cigawir, Kec. Selaawi",0262431623
Pondok Pesantren Baiturrohmah,"Desa Cilampuyang, Kec. Malangbong",085223621880
Pondok Pesantren Salafiyah Bhakti Muslimin,"Desa Karanganyar, Kec. Leuwigoong",0262455872
Pondok Pesantren Salafiyah Miftahul Hidayah,"Desa Mekarjaya, Kec. Bungbulang",081313723313
Pondok Pesantren Nurul Barokah,"Desa Sukahurip, Kec. Cigedug",081323587654
Pondok Pesantren Darul Ulum,"Desa Hegarsari, Kec. Kadungora",081563520533
Pondok Pesantren Persatuan Islam 73,"Desa Padaasih, Kec. Pasirwangi",
Yayasan Pendidikan Islam At-Taqwa,"Desa Sukamenak, Kec. Wanaraja",
Yayasan Pendidikan Pondok Pesantren Al-Misbah,"Desa Cigadog, Kec. Sucinaraja",081586485393
Yayasan Pesantren Al-Munawar,"Desa Karangtengah, Kec. Kadungora",0262456509
Yayasan Pesantren Annajaat,"Desa Sukasono, Kec. Sukawening",0262466356
Yayasan Pondok Pesantren Al-Hasbie Adam Darul Muka,"Desa Sukabakti, Kec. Tarogong Kidul",0262243502
Yayasan Pesantren Modern At-Taubah,"Desa Tirtasari, Kec. Tirtamulya",081387107788
Yayasan Ishlahul Hidayah,"Desa Pasirjaya, Kec. Cilamaya",085880199280
Yayasan Roudhotul Irfan,"Desa Banyusari, Kec. Malausma",081324113504
Yayasan Roudlotul Mubarokah Talaga,"Desa Argasari, Kec. Talaga",085224944591
Yayasan Manbaul Huda Cibogor,"Desa Cibogor, Kec. Ligung",081395989395
Pondok Pesantren Madinatunnajah,"Desa Setianegara, Kec. Cilimus",081320660391
Yayasan Pendidikan Islam Nurul Falah,"Desa Nanggerang, Kec. Cicurug",0266732516
Pondok Pesantren Al-Intizhoom,"Kel. Tipar, Kec. Citamiang",02667000266
Yayasan Medal Asih,"Desa Cibitung, Kec. Buahdua",081221037639
Yayasan Pendidikan Islam Pondok Pesantren Ibtidaul,"Desa Pasir Panjang, Kec Mononjaya",081320554608
Yayasan Pendidikan Mathlaul Huda,"Desa Tenjonagara, Kec. Cigalontang",081809120941
Yayasan Pesantren Nurul Huda,"Desa Cisayong, Kec. Cisayong",085223642141
Yayasan Pendidikan Pondok Pesantren Miftahul Huda,"Kel. Margabakti, Kec. Cibeureum",0265380337
Yayasan Nurul Fiqhiyah Al Islamiyah,"Kel. Setiamulya, Kec. Tamansari",085223189227
Pondok Pesantren Hajar Aswad,Purwasaba Mandiraja Banjarnegara,
Yayasan Nurul Iman,"Desa Pasir Wetan, Kec. Karanglewas, Kab. Banyumas, Jateng",
Pondok Pesantren Al Azizah,"Desa Karanggeneng, Kec, Godong, Kab. Grobogan, Jawa Tengah",HP  085225694018
Pondok Pesantren Mansajul Ulum,Bandungharjo Keling Jepara,0812 253822
Pondok Pesantren Al Hidayah,Desa Undaan Kidul Kec. Undaan Kudus,
Yayasan Almawaddah,"Desa Jekulo, Kudus,",08156655990
Pondok Pesantren Salafi Al Hidayat,"Desa Kedunglumpang, Kec. Salaman Kab. Magelang",HP  081328541143
Pondok Pesantren Assalam,Kalijaran Karanganyar Purbalingga,
Pondok Pesantren Darussalikin II,"Jl. Kyai Ibnu Hajar No.1 Tempelsari, Kec. Kalikajar, Kab. Wonosobo Jateng",
Pondok Pesantren Putra Putri Al Badriyah,Jl. Kauman Tayu RT 1/II Tayu-Pati 59155,HP  08122511630
Al Hikmah,,
Pondok Pesantren Al Furqon,"Rt2 Rw1, Desa Gendosari, Kec. Gebong, Kab. Kudus, Jateng",0291 433183
Ushuludin,"Ds. Ngadirejo, Kec. Salaman, Kab. Magelang,",0293 335184 / 08122765279
Pondok Pesantren Al Munawir Pondok Pasantren Al Mu,Jl. Pandansari No.28 Ajibarang - Banyumas - Jateng -,0281 572463
Pondok pesantren Alfalah Sofwaniyah,Jln. Raya Jatirokeh Songgom Brebes 52266,0283-3325366
LM3 Yayasan Pondok Pesantren Manbaul Ulum,"Desa Benda, Kec. Sirampog, Kab. Brebes,  Kotak Pos 52272 -",0289 5709328
LM3 Raudlatussuada Yayasan Pondok Pasantren Assala,RT. 06/RW. 01 Buaran - Bantarkawung - Brebes - Jateng,
Pondok Pesantren Al Muklisin,"Gerdu RT 01 RW 11, Tegalgede  Karanganyar 57714 Dinas pertanian Kab Karanganyar",HP  0812 2619911
Yayasan Pondok Pesantren Al Kahfi Somalangu,Komplek Ponpes Al-Kahfi Somalangu Ds. Sumberadi Kec. Kebumen  Kab. Kebumen - Jawa Tengah 0815 6659628,0287-382979 Zulfah Nursofiyah  0287-382
Pontren Darussaadah,"Desa Bulus Kritig Pertanahan, Kebumen",
Pondok Pesantren Nur Zam zam,Jl. Wadas Lintang Km 4  Desa Mulyosari Kec. Prembun Kab. Kebumen  Jawa Tengah,
Pondok Pesantren Nurul Hidayah,"Desa Bandung, Kec.Kebumen,  Kab. Kebumen - Jateng -",: 0287-5507777
Pondok Pesantren Pabelan,Tromol Pos No. 800 Muntilan Jateng 56408,"0293-782110, 782040, 782091 HP  0813 28"
Pontren Maktabah Kajen,"Jl. Achmad Mutamakin Kajen, Margoyoso, Pati",0295-452495/ 081325055276
Pondok Pesantren Putri Arroihanah,Jl. Raya Tayu Puncel Km 11 Kembang Dukuh Seti - Pati - Jawa Tengah 59158,
Pondok Pesantren Ath Thohiriyah,"Dsn. Cemanggah Kidul 04/IV,  Desa Branjang Kec. Ungaran Barat,  Kab. Semarang - Jateng",024-70260650 HP  0813 25373180
Pondok Pesantren Manbaul Quran (Pondok Pesantren M,Larangan Wonoyoso Kec. Pringapus Kab. Semarang - Jawa Tengah 50553,024-70790429
